,zipcode,renovated,waterfront,grade,id,price,price_median,price_diference,target_price,status
18370,98033,0,0,7,1238500451,130000.0,532000.0,-402000.0,185900.0,compra
7507,98116,0,0,7,9272202260,130000.0,522750.0,-392750.0,185900.0,compra
6609,98034,0,0,7,1049010620,90000.0,420000.0,-330000.0,128700.0,compra
2169,98103,0,0,7,9524100196,239000.0,565000.0,-326000.0,341770.0,compra
7494,98116,0,0,7,324000530,201500.0,522750.0,-321250.0,288145.0,compra
2167,98103,0,0,7,9524100207,245000.0,565000.0,-320000.0,350350.0,compra
3414,98052,0,0,8,7242800020,277140.0,585094.0,-307954.0,396310.2,compra
12777,98053,0,0,7,203101370,170000.0,475000.0,-305000.0,243100.0,compra
5974,98115,0,0,8,425049181,350000.0,650000.0,-300000.0,500500.0,compra
5908,98115,0,0,8,2274000026,353000.0,650000.0,-297000.0,504790.0,compra
2105,98103,0,0,7,4340610080,269500.0,565000.0,-295500.0,385385.0,compra
2046,98103,0,0,7,1997200060,270000.0,565000.0,-295000.0,386100.0,compra
5963,98115,0,0,8,3265300410,370000.0,650000.0,-280000.0,529100.0,compra
3992,98117,0,0,8,6021503698,305000.0,584500.0,-279500.0,436150.0,compra
9158,98103,0,0,8,993001629,265000.0,532170.0,-267170.0,378950.0,compra
1259,98115,0,0,7,8641500280,270000.0,530000.0,-260000.0,386100.0,compra
10432,98006,0,0,8,5175800060,365000.0,622000.0,-257000.0,521950.0,compra
3995,98117,0,0,8,6021503705,329000.0,584500.0,-255500.0,470470.0,compra
3973,98117,0,0,8,6021503706,329900.0,584500.0,-254600.0,471757.0,compra
2163,98103,0,0,7,4340610040,312500.0,565000.0,-252500.0,446875.0,compra
9169,98103,0,0,8,4310702775,280000.0,532170.0,-252170.0,400400.0,compra
3198,98052,0,0,8,7525100520,335000.0,585094.0,-250094.0,479050.0,compra
3695,98117,0,0,7,225039145,285000.0,535000.0,-250000.0,407550.0,compra
1322,98115,0,0,7,1995200320,280000.0,530000.0,-250000.0,400400.0,compra
3985,98117,0,0,8,6021503708,334900.0,584500.0,-249600.0,478907.0,compra
18391,98033,0,0,7,2591010290,285000.0,532000.0,-247000.0,407550.0,compra
11225,98122,0,0,8,6840701610,332888.0,577500.0,-244612.0,476029.83999999997,compra
9273,98103,0,0,8,306000565,290000.0,532170.0,-242170.0,414700.0,compra
9275,98103,0,0,8,6749700004,291000.0,532170.0,-241170.0,416130.0,compra
2506,98133,0,0,7,6450302546,130000.0,370768.5,-240768.5,185900.0,compra
1358,98115,0,0,7,3226049267,289500.0,530000.0,-240500.0,413985.0,compra
4636,98074,0,0,9,7504001440,435000.0,675000.0,-240000.0,622050.0,compra
6788,98125,0,0,7,5272200005,175000.0,415000.0,-240000.0,250250.0,compra
7298,98008,0,0,7,4038000040,250000.0,490000.0,-240000.0,357500.0,compra
18495,98033,0,0,7,3057000300,295000.0,532000.0,-237000.0,421850.0,compra
5997,98115,0,0,8,8024200677,415000.0,650000.0,-235000.0,593450.0,compra
3725,98117,0,0,7,7518501140,300000.0,535000.0,-235000.0,429000.0,compra
304,98074,0,0,8,8651510380,310000.0,545000.0,-235000.0,443300.0,compra
3898,98117,0,0,8,1862400479,350000.0,584500.0,-234500.0,500500.0,compra
3963,98117,0,0,8,1862400528,350500.0,584500.0,-234000.0,501215.0,compra
2171,98103,0,0,7,6431000748,331000.0,565000.0,-234000.0,473330.0,compra
6000,98115,0,0,8,2979800409,416286.0,650000.0,-233714.0,595288.98,compra
7522,98116,0,0,7,7904700146,290000.0,522750.0,-232750.0,414700.0,compra
3994,98117,0,0,8,6021503707,352500.0,584500.0,-232000.0,504075.0,compra
10441,98006,0,0,8,6067900640,391000.0,622000.0,-231000.0,559130.0,compra
6010,98115,0,0,8,8024200684,419500.0,650000.0,-230500.0,599885.0,compra
11249,98122,0,0,8,9126100346,350000.0,577500.0,-227500.0,500500.0,compra
18470,98033,0,0,7,1233100351,305000.0,532000.0,-227000.0,436150.0,compra
12491,98053,0,0,8,8682260870,344000.0,570500.0,-226500.0,491920.0,compra
9295,98103,0,0,8,6749700006,306000.0,532170.0,-226170.0,437580.0,compra
6002,98115,0,0,8,2883200083,424950.0,650000.0,-225050.0,607678.5,compra
1901,98103,0,0,7,3126049411,340000.0,565000.0,-225000.0,486200.0,compra
1378,98115,0,0,7,4073200124,305000.0,530000.0,-225000.0,436150.0,compra
6003,98115,0,0,8,8024200681,425000.0,650000.0,-225000.0,607750.0,compra
5988,98115,0,0,8,5100402310,425000.0,650000.0,-225000.0,607750.0,compra
2104,98103,0,0,7,2917200675,340000.0,565000.0,-225000.0,486200.0,compra
6143,98144,0,0,7,3080000005,181000.0,405000.0,-224000.0,258830.0,compra
2120,98103,0,0,7,6430500086,341000.0,565000.0,-224000.0,487630.0,compra
2168,98103,0,0,7,3126049446,343000.0,565000.0,-222000.0,490490.0,compra
6001,98115,0,0,8,7410200431,430000.0,650000.0,-220000.0,614900.0,compra
242,98136,0,0,7,7625702616,219000.0,439000.0,-220000.0,313170.0,compra
9186,98103,0,0,8,3126049439,313000.0,532170.0,-219170.0,447590.0,compra
1257,98115,0,0,7,8024200010,312000.0,530000.0,-218000.0,446160.0,compra
1347,98115,0,0,7,5101402435,312000.0,530000.0,-218000.0,446160.0,compra
11262,98122,0,0,8,9828702771,359950.0,577500.0,-217550.0,514728.5,compra
11256,98122,0,0,8,9828701488,360000.0,577500.0,-217500.0,514800.0,compra
2173,98103,0,0,7,6431000749,349000.0,565000.0,-216000.0,499070.0,compra
3883,98117,0,0,8,4442800008,369000.0,584500.0,-215500.0,527670.0,compra
3862,98117,0,0,7,1865400075,320000.0,535000.0,-215000.0,457600.0,compra
2028,98103,0,0,7,2917200085,350000.0,565000.0,-215000.0,500500.0,compra
14522,98133,0,0,8,4468400211,205000.0,420000.0,-215000.0,293150.0,compra
9311,98103,0,0,8,2919700107,319950.0,532170.0,-212220.0,457528.5,compra
9187,98103,0,0,8,993000950,320000.0,532170.0,-212170.0,457600.0,compra
5890,98115,0,0,8,9528102772,438000.0,650000.0,-212000.0,626340.0,compra
3865,98117,0,0,7,1865400076,324000.0,535000.0,-211000.0,463320.0,compra
2049,98103,0,0,7,6430000070,355000.0,565000.0,-210000.0,507650.0,compra
11555,98126,0,0,7,5347200162,210000.0,420000.0,-210000.0,300300.0,compra
5998,98115,0,0,8,8024200685,440000.0,650000.0,-210000.0,629200.0,compra
6011,98115,0,0,8,8024200683,440000.0,650000.0,-210000.0,629200.0,compra
2096,98103,0,0,7,1931300870,355000.0,565000.0,-210000.0,507650.0,compra
2061,98103,0,0,7,4310702440,355000.0,565000.0,-210000.0,507650.0,compra
12776,98053,0,0,7,7203101610,265000.0,475000.0,-210000.0,378950.0,compra
3894,98117,0,0,8,6021503656,375000.0,584500.0,-209500.0,536250.0,compra
3923,98117,0,0,8,6021503655,375000.0,584500.0,-209500.0,536250.0,compra
5814,98059,0,0,8,1081200360,260000.0,468497.5,-208497.5,371800.0,compra
9067,98108,0,0,7,13001215,130000.0,337500.0,-207500.0,185900.0,compra
11518,98126,0,0,7,8122100595,212700.0,420000.0,-207300.0,304161.0,compra
3531,98027,0,0,8,3324079092,361000.0,567500.0,-206500.0,516230.0,compra
9249,98103,0,0,8,4310702759,326000.0,532170.0,-206170.0,466180.0,compra
3389,98052,0,0,8,7525100590,382000.0,585094.0,-203094.0,546260.0,compra
8930,98052,0,0,7,1237500720,275000.0,478000.0,-203000.0,393250.0,compra
5965,98115,0,0,8,3226049401,447500.0,650000.0,-202500.0,639925.0,compra
11277,98122,0,0,8,2254502071,375000.0,577500.0,-202500.0,536250.0,compra
11229,98122,0,0,8,1934800142,375000.0,577500.0,-202500.0,536250.0,compra
2091,98103,0,0,7,1529300410,365000.0,565000.0,-200000.0,521950.0,compra
2050,98103,0,0,7,1923300135,365000.0,565000.0,-200000.0,521950.0,compra
5991,98115,0,0,8,5102400025,450000.0,650000.0,-200000.0,643500.0,compra
5914,98115,0,0,8,1566100625,450000.0,650000.0,-200000.0,643500.0,compra
291,98074,0,0,8,3578401060,345000.0,545000.0,-200000.0,493350.0,compra
3673,98117,0,0,7,3501600185,335000.0,535000.0,-200000.0,479050.0,compra
1572,98028,0,0,7,2570600140,196000.0,396000.0,-200000.0,280280.0,compra
10582,98006,0,0,8,6072500490,423800.0,622000.0,-198200.0,606034.0,compra
9166,98103,0,0,8,4310702787,335000.0,532170.0,-197170.0,479050.0,compra
18373,98033,0,0,7,1246700152,335000.0,532000.0,-197000.0,479050.0,compra
10494,98006,0,0,8,6073230230,425000.0,622000.0,-197000.0,607750.0,compra
9329,98103,0,0,8,9267200062,336000.0,532170.0,-196170.0,480480.0,compra
7698,98118,0,0,7,4006000307,155000.0,351000.0,-196000.0,221650.0,compra
3624,98117,0,0,7,1232000810,340000.0,535000.0,-195000.0,486200.0,compra
6902,98125,0,0,7,2926049376,220000.0,415000.0,-195000.0,314600.0,compra
10469,98006,0,0,8,6705120280,428000.0,622000.0,-194000.0,612040.0,compra
2060,98103,0,0,7,8021700030,371000.0,565000.0,-194000.0,530530.0,compra
7581,98118,0,0,7,7129300595,158000.0,351000.0,-193000.0,225940.0,compra
6916,98125,0,0,7,1787600294,222000.0,415000.0,-193000.0,317460.0,compra
7479,98116,0,0,7,7905200230,330000.0,522750.0,-192750.0,471900.0,compra
3545,98027,0,0,8,291310270,375000.0,567500.0,-192500.0,536250.0,compra
9343,98103,0,0,8,9521100301,339950.0,532170.0,-192220.0,486128.5,compra
9159,98103,0,0,8,4310701600,340000.0,532170.0,-192170.0,486200.0,compra
3942,98117,0,0,8,1862400471,392500.0,584500.0,-192000.0,561275.0,compra
368,98074,0,0,8,3578400670,354000.0,545000.0,-191000.0,506220.0,compra
11205,98122,0,0,8,1189000207,387000.0,577500.0,-190500.0,553410.0,compra
9250,98103,0,0,8,9267200345,342000.0,532170.0,-190170.0,489060.0,compra
9196,98103,0,0,8,6749700110,342000.0,532170.0,-190170.0,489060.0,compra
6529,98034,0,0,7,1049000740,229950.0,420000.0,-190050.0,328828.5,compra
7310,98008,0,0,7,3298500690,300000.0,490000.0,-190000.0,429000.0,compra
1270,98115,0,0,7,3226049466,340000.0,530000.0,-190000.0,486200.0,compra
3849,98117,0,0,7,6021500970,345000.0,535000.0,-190000.0,493350.0,compra
1278,98115,0,0,7,5101402472,340500.0,530000.0,-189500.0,486915.0,compra
12495,98053,0,0,8,8682262380,381000.0,570500.0,-189500.0,544830.0,compra
1562,98028,0,0,7,9406500350,207000.0,396000.0,-189000.0,296010.0,compra
9342,98103,0,0,8,993001976,344000.0,532170.0,-188170.0,491920.0,compra
9303,98103,0,0,8,993001914,344000.0,532170.0,-188170.0,491920.0,compra
7506,98116,0,0,7,6365900065,334850.0,522750.0,-187900.0,478835.5,compra
11215,98122,0,0,8,1934800138,390000.0,577500.0,-187500.0,557700.0,compra
11202,98122,0,0,8,9826701794,390000.0,577500.0,-187500.0,557700.0,compra
7746,98118,0,0,7,2724049222,163800.0,351000.0,-187200.0,234234.0,compra
9193,98103,0,0,8,6749700031,345000.0,532170.0,-187170.0,493350.0,compra
9270,98103,0,0,8,993002177,345000.0,532170.0,-187170.0,493350.0,compra
9276,98103,0,0,8,4310702918,345000.0,532170.0,-187170.0,493350.0,compra
6974,98038,0,0,8,1442800370,189950.0,377000.0,-187050.0,271628.5,compra
3654,98117,0,0,7,534000112,348000.0,535000.0,-187000.0,497640.0,compra
14486,98133,0,0,8,6300000693,233000.0,420000.0,-187000.0,333190.0,compra
6938,98125,0,0,7,7663700401,229000.0,415000.0,-186000.0,327470.0,compra
7436,98116,0,0,7,5014000225,337500.0,522750.0,-185250.0,482625.0,compra
3366,98052,0,0,8,9542890010,400000.0,585094.0,-185094.0,572000.0,compra
1418,98115,0,0,7,9553200052,345000.0,530000.0,-185000.0,493350.0,compra
3778,98117,0,0,7,9144100035,350000.0,535000.0,-185000.0,500500.0,compra
11492,98126,0,0,7,5347200160,235000.0,420000.0,-185000.0,336050.0,compra
3627,98117,0,0,7,1862400517,350000.0,535000.0,-185000.0,500500.0,compra
3975,98117,0,0,8,7515000143,399950.0,584500.0,-184550.0,571928.5,compra
1748,98107,0,0,7,1982201255,357950.0,542500.0,-184550.0,511868.5,compra
9232,98103,0,0,8,263000325,349000.0,532170.0,-183170.0,499070.0,compra
3559,98027,0,0,8,291310170,384500.0,567500.0,-183000.0,549835.0,compra
3591,98117,0,0,7,6021501685,352000.0,535000.0,-183000.0,503360.0,compra
9048,98108,0,0,7,7883603425,155000.0,337500.0,-182500.0,221650.0,compra
11548,98126,0,0,7,4364700875,237502.0,420000.0,-182498.0,339627.86,compra
9201,98103,0,0,8,263000329,349950.0,532170.0,-182220.0,500428.5,compra
9230,98103,0,0,8,6749700117,350000.0,532170.0,-182170.0,500500.0,compra
